Hour,Outdoor_Temp,Ground_Temp,Zone_Temps,Mass_Temps,Surface_Temps,Solar_Watts,Internal_Watts,HVAC_Watts,InterZone_Watts,Infiltration_Watts
0,-9.95,9.40,20.00,19.52,19.76,0.00,200.00,601.56,0.00,434.16,-1440.43
1,-11.01,9.40,20.00,19.03,19.51,0.00,200.00,775.38,0.00,434.16,-1468.43
2,-11.66,9.40,20.00,18.54,19.27,0.00,200.00,860.08,0.00,434.16,-1476.20
3,-11.85,9.40,20.00,18.05,19.03,0.00,200.00,901.07,0.00,434.16,-1461.78
4,-11.57,9.40,20.00,17.58,18.79,0.00,200.00,916.10,0.00,434.16,-1424.76
5,-10.82,9.40,20.00,17.13,18.56,0.00,200.00,912.50,0.00,434.16,-1366.32
6,-9.67,9.40,20.00,16.71,18.35,0.00,200.00,894.06,0.00,434.16,-1289.10
7,-8.18,9.40,20.00,16.31,18.16,0.00,200.00,863.68,0.00,434.16,-1197.07
8,-6.45,9.40,20.00,16.13,18.06,1182.96,200.00,523.56,0.00,434.16,-1103.68
9,-4.61,9.40,23.05,16.33,19.69,3874.06,200.00,0.00,0.00,500.48,-1023.39
10,-2.77,9.40,27.00,16.77,21.88,5610.40,200.00,-319.80,0.00,586.12,-954.90
11,-1.05,9.40,27.00,17.34,22.17,6646.88,200.00,-789.42,0.00,586.12,-899.00
12,0.42,9.40,27.00,17.94,22.47,6988.77,200.00,-1019.22,0.00,586.12,-856.79
13,1.54,9.40,27.00,18.52,22.76,6665.59,200.00,-1030.72,0.00,586.12,-829.84
14,2.25,9.40,27.00,18.98,22.99,5644.98,200.00,-822.73,0.00,586.12,-817.50
15,2.50,9.40,27.00,19.22,23.11,3913.67,200.00,-391.48,0.00,586.12,-817.49
16,2.26,9.40,22.69,19.12,20.90,1201.51,200.00,0.00,0.00,492.56,-823.82
17,1.56,9.40,20.00,18.83,19.42,0.00,200.00,267.81,0.00,434.16,-844.43
18,0.44,9.40,20.00,18.54,19.27,0.00,200.00,437.16,0.00,434.16,-884.86
19,-1.03,9.40,20.00,18.23,19.11,0.00,200.00,534.80,0.00,434.16,-941.13
20,-2.73,9.40,20.00,17.89,18.95,0.00,200.00,608.16,0.00,434.16,-1008.23
21,-4.57,9.40,20.00,17.54,18.77,0.00,200.00,673.95,0.00,434.16,-1080.46
22,-6.41,9.40,20.00,17.16,18.58,0.00,200.00,736.63,0.00,434.16,-1151.78
23,-8.13,9.40,20.00,16.76,18.38,0.00,200.00,795.73,0.00,434.16,-1216.26
24,-9.61,9.40,20.00,16.34,18.17,0.00,200.00,849.01,0.00,434.16,-1268.35
25,-10.76,9.40,20.00,15.91,17.96,0.00,200.00,893.91,0.00,434.16,-1303.70
26,-11.50,9.40,20.00,15.48,17.74,0.00,200.00,928.01,0.00,434.16,-1318.80
27,-11.78,9.40,20.00,15.05,17.53,0.00,200.00,949.53,0.00,434.16,-1311.67
28,-11.59,9.40,20.00,14.63,17.32,0.00,200.00,957.49,0.00,434.16,-1281.85
29,-10.94,9.40,20.00,14.23,17.12,0.00,200.00,951.79,0.00,434.16,-1230.47
30,-9.88,9.40,20.00,13.86,16.93,0.00,200.00,933.27,0.00,434.16,-1160.15
31,-8.48,9.40,20.00,13.51,16.76,0.00,200.00,903.60,0.00,434.16,-1074.79
32,-6.84,9.40,20.00,13.37,16.69,1197.15,200.00,560.82,0.00,434.16,-987.92
33,-5.08,9.40,22.52,13.62,18.07,3875.44,200.00,0.00,0.00,488.93,-913.75
34,-3.31,9.40,27.00,14.10,20.55,5609.25,200.00,-269.81,0.00,586.12,-851.06
35,-1.67,9.40,27.00,14.71,20.85,6647.36,200.00,-742.63,0.00,586.12,-800.62
36,-0.27,9.40,27.00,15.35,21.18,6991.73,200.00,-973.62,0.00,586.12,-763.49
37,0.80,9.40,27.00,15.96,21.48,6671.71,200.00,-985.69,0.00,586.12,-741.21
38,1.46,9.40,27.00,16.46,21.73,5654.27,200.00,-778.10,0.00,586.12,-733.12
39,1.66,9.40,27.00,16.73,21.87,3927.12,200.00,-347.54,0.00,586.12,-736.93
40,1.39,9.40,22.14,16.66,19.40,1221.68,200.00,0.00,0.00,480.60,-746.62
41,0.66,9.40,20.00,16.41,18.20,0.00,200.00,322.33,0.00,434.16,-770.02
42,-0.48,9.40,20.00,16.14,18.07,0.00,200.00,487.90,0.00,434.16,-812.75
43,-1.96,9.40,20.00,15.86,17.93,0.00,200.00,583.78,0.00,434.16,-870.83
44,-3.66,9.40,20.00,15.55,17.78,0.00,200.00,656.02,0.00,434.16,-939.28
45,-5.49,9.40,20.00,15.22,17.61,0.00,200.00,720.82,0.00,434.16,-1012.37
46,-7.31,9.40,20.00,14.87,17.44,0.00,200.00,782.39,0.00,434.16,-1084.10
47,-9.00,9.40,20.00,14.50,17.25,0.00,200.00,840.21,0.00,434.16,-1148.54
48,-10.44,9.40,20.00,14.11,17.06,0.00,200.00,891.87,0.00,434.16,-1199.96
49,-11.54,9.40,20.00,13.71,16.86,0.00,200.00,935.00,0.00,434.16,-1234.46
50,-12.23,9.40,20.00,13.31,16.65,0.00,200.00,967.13,0.00,434.16,-1248.34
51,-12.45,9.40,20.00,12.91,16.45,0.00,200.00,986.46,0.00,434.16,-1239.65
52,-12.19,9.40,20.00,12.52,16.26,0.00,200.00,992.03,0.00,434.16,-1207.98
53,-11.47,9.40,20.00,12.15,16.07,0.00,200.00,983.77,0.00,434.16,-1154.47
54,-10.33,9.40,20.00,11.80,15.90,0.00,200.00,962.50,0.00,434.16,-1081.79
55,-8.84,9.40,20.00,11.49,15.74,0.00,200.00,929.95,0.00,434.16,-993.89
56,-7.12,9.40,20.00,11.39,15.69,1212.51,200.00,580.14,0.00,434.16,-904.46
57,-5.27,9.40,22.28,11.66,16.97,3877.28,200.00,0.00,0.00,483.59,-827.54
58,-3.41,9.40,27.00,12.18,19.59,5608.32,200.00,-249.92,0.00,586.12,-762.03
